person_id,full_name,other_names,assnat_url
1423,francois gendron,gendron,/fr/deputes/gendron-francois-1423/index.html
17937,francois jacques,jacques,/fr/deputes/jacques-francois-17937/index.html
4131,francois legault,legault,/fr/deputes/legault-francois-4131/index.html
857,francois ouimet,ouimet,/fr/deputes/ouimet-francois-857/index.html
15725,francois paradis,paradis,/fr/deputes/paradis-francois-15725/index.html
81,francois rebello,rebello,/fr/deputes/rebello-francois-81/index.html
17917,francois tremblay,tremblay,/fr/deputes/tremblay-francois-17917/index.html
12205,francoise david,david,/fr/deputes/david-francoise-12205/index.html
5781,francoise gauthier,gauthier,/fr/deputes/gauthier-francoise-5781/index.html
17909,frantz benjamin,benjamin ; m. benjamin ; m.benjamin,/fr/deputes/benjamin-frantz-17909/index.html
19307,frederic beauchemin,beauchemin ; m.beauchemin ; m.beauchemin,/fr/deputes/beauchemin-frederic-19307/index.html
16827,gabriel nadeaudubois,nadeaudubois,/fr/deputes/nadeau-dubois-gabriel-16827/index.html
3317,gabrielyvan gagnon,gagnon,/fr/deputes/gagnon-gabriel-yvan-3317/index.html
15397,gaetan barrette,barrette,/fr/deputes/barrette-gaetan-15397/index.html
12229,gaetan lelievre,lelievre,/fr/deputes/lelievre-gaetan-12229/index.html
16885,genevieve guilbault,guilbault,/fr/deputes/guilbault-genevieve-16885/index.html
17877,genevieve hebert,hebert,/fr/deputes/hebert-genevieve-17877/index.html
55,geoffrey kelley,kelley,/fr/deputes/kelley-geoffrey-55/index.html
3129,georges farrah,farrah,/fr/deputes/farrah-georges-3129/index.html
31,georges mamelonet,mamelonet,/fr/deputes/mamelonet-georges-31/index.html
5599,gerald tremblay,tremblay,/fr/deputes/tremblay-gerald-5599/index.html
17,gerard deltell,deltell,/fr/deputes/deltell-gerard-17/index.html
4561,gerardraymond morin,NA,/fr/deputes/morin-gerard-raymond-4561/index.html
1003,germain chevarie,chevarie,/fr/deputes/chevarie-germain-1003/index.html
1179,gerry sklavounos,sklavounos,/fr/deputes/sklavounos-gerry-1179/index.html
12207,ghislain bolduc,NA,/fr/deputes/bolduc-ghislain-12207/index.html
900008,gilles baril2,baril,
17925,gilles belanger,belanger ; m. belanger,/fr/deputes/belanger-gilles-17925/index.html
